Exporters	Imported value in 2021-M02	Imported value in 2021-M03	Imported value in 2021-M04	Imported value in 2021-M05	Imported value in 2021-M06	Imported value in 2021-M07	Imported value in 2021-M08	Imported value in 2021-M09	Imported value in 2021-M10	Imported value in 2021-M11	Imported value in 2021-M12	Imported value in 2022-M01	Imported value in 2022-M02	Imported value in 2022-M03	Imported value in 2022-M04	Imported value in 2022-M05	Imported value in 2022-M06	Imported value in 2022-M07	Imported value in 2022-M08	Imported value in 2022-M09	
"Trinidad and Tobago"	333536	313790	384161	387405	448344	407475	391090	462539	261571	417987	317179	727072	434104	481328	494812	482696	305254	427458	536287	523038	
"Tunisia"	44129	63736	82105	60536	52331	99570	85274	49519	60108	53958	42861	53570	55490	60707	77444	85600	96193	61662	62735	52172	
"Türkiye"	1065376	1232817	1549211	1422653	1524564	1554155	1394526	1480266	1585959	1491900	1573371	1359678	1619048	1808595	1787189	1901325	1767098	1744695	1815357	1565778	
"Turkmenistan"	423	440	133	26	34	12180	17	888	5134	5544	6	26723	229	204	58	6910	11562	383	1603	697	
"Turks and Caicos Islands"	545	404	605	435	338	1092	61	393	346	878	205	877	451	713	734	842	2890	976	1005	1351	
"Tuvalu"	198	1	3	1	4	0	7	5	9	0	37	0	5	8	1	3	0	1	14	39	
"Uganda"	6821	5613	5373	7102	8707	11062	10186	10178	8718	5856	10421	9181	26990	37925	14335	9849	11660	11312	20200	9254	
"Ukraine"	113600	174777	132924	199191	191668	199985	107749	251606	160133	178042	184749	221872	194365	132509	80414	54766	84323	96170	115581	109421	
"United Arab Emirates"	563468	339718	468069	426179	415697	644363	765897	350892	548040	525168	603563	446748	462247	617371	847783	630063	496518	805249	704451	758939	
"United Kingdom"	3959231	5184867	4708763	4780025	5272159	4822716	4798229	4892105	4629785	5032962	5412384	4091581	4142425	5780512	5567740	5756130	6004353	4960807	5326931	5610784	
"Uruguay"	39107	42424	40986	61938	90256	73244	47815	59517	57335	61894	50659	76801	41551	65149	73447	75982	101982	101576	99605	77556	
"Uzbekistan"	1923	734	1886	18976	11878	3605	37826	51448	53392	2462	3551	949	2226	3626	2650	8883	25152	5138	1239	1831	
"Vanuatu"	966	430	951	248	283	192	1238	153	170	1445	168	234	935	352	227	571	729	810	290	974	
"Venezuela, Bolivarian Republic of"	13432	21024	25149	22620	23545	21980	38848	15896	46347	47910	40069	37049	35894	41218	36468	39279	40218	40224	36261	39126	
"Viet Nam"	7125155	9281502	8398817	9098023	8632028	8828392	10042904	8897176	9757611	9899949	10158608	10544168	8773823	12295911	11722260	12684135	12385503	11391270	13219000	12301949	
"Wallis and Futuna Islands"	0	1	0	0	0	63	0	34	2	6	2	6	0	0	1	0	0	0	0	22	
"Yemen"	553	569	1178	683	310	4623	1272	496	113	191	110	189	944	960	1218	16824	4079	5231	909	737	
"Zambia"	3441	2676	3342	3566	3544	3941	15438	14264	3156	101580	22843	10722	7154	12280	11367	28655	9883	7501	4617	7131	
"Zimbabwe"	1601	5689	1711	3519	1452	6260	2737	11942	3006	1760	1982	13355	687	2137	9699	3833	2458	1397	11869	13423	
